Epoch 1, Train Loss: 0.2422, Val Loss: 1.1031, Accuracy: 0.6191, LR: 0.001000
Epoch 2, Train Loss: 0.1002, Val Loss: 0.1939, Accuracy: 0.9248, LR: 0.001000
Epoch 3, Train Loss: 0.0854, Val Loss: 0.1200, Accuracy: 0.9534, LR: 0.001000
Epoch 4, Train Loss: 0.0712, Val Loss: 0.0967, Accuracy: 0.9653, LR: 0.001000
Epoch 5, Train Loss: 0.0635, Val Loss: 0.1255, Accuracy: 0.9550, LR: 0.001000
Epoch 6, Train Loss: 0.0621, Val Loss: 0.0782, Accuracy: 0.9734, LR: 0.001000
Epoch 7, Train Loss: 0.0630, Val Loss: 0.0751, Accuracy: 0.9746, LR: 0.001000
Epoch 8, Train Loss: 0.0584, Val Loss: 0.0602, Accuracy: 0.9782, LR: 0.001000
Epoch 9, Train Loss: 0.0546, Val Loss: 0.0597, Accuracy: 0.9795, LR: 0.001000
Epoch 10, Train Loss: 0.0524, Val Loss: 0.0562, Accuracy: 0.9806, LR: 0.001000
Epoch 11, Train Loss: 0.0508, Val Loss: 0.0540, Accuracy: 0.9808, LR: 0.000100
Epoch 12, Train Loss: 0.0482, Val Loss: 0.0536, Accuracy: 0.9808, LR: 0.000100
Epoch 13, Train Loss: 0.0487, Val Loss: 0.0535, Accuracy: 0.9808, LR: 0.000100
Epoch 14, Train Loss: 0.0476, Val Loss: 0.0536, Accuracy: 0.9807, LR: 0.000100
Epoch 15, Train Loss: 0.0474, Val Loss: 0.0535, Accuracy: 0.9807, LR: 0.000100
Epoch 16, Train Loss: 0.0468, Val Loss: 0.0533, Accuracy: 0.9808, LR: 0.000100
Epoch 17, Train Loss: 0.0468, Val Loss: 0.0535, Accuracy: 0.9807, LR: 0.000100
Epoch 18, Train Loss: 0.0466, Val Loss: 0.0525, Accuracy: 0.9812, LR: 0.000100
Epoch 19, Train Loss: 0.0466, Val Loss: 0.0533, Accuracy: 0.9805, LR: 0.000100
Epoch 20, Train Loss: 0.0463, Val Loss: 0.0529, Accuracy: 0.9810, LR: 0.000100
Epoch 21, Train Loss: 0.0451, Val Loss: 0.0523, Accuracy: 0.9811, LR: 0.000010
Epoch 22, Train Loss: 0.0452, Val Loss: 0.0527, Accuracy: 0.9811, LR: 0.000010
Epoch 23, Train Loss: 0.0453, Val Loss: 0.0526, Accuracy: 0.9811, LR: 0.000010
Epoch 24, Train Loss: 0.0455, Val Loss: 0.0525, Accuracy: 0.9810, LR: 0.000010
Epoch 25, Train Loss: 0.0454, Val Loss: 0.0527, Accuracy: 0.9809, LR: 0.000010
Epoch 26, Train Loss: 0.0448, Val Loss: 0.0528, Accuracy: 0.9809, LR: 0.000010
Epoch 27, Train Loss: 0.0450, Val Loss: 0.0527, Accuracy: 0.9810, LR: 0.000010
Epoch 28, Train Loss: 0.0448, Val Loss: 0.0525, Accuracy: 0.9810, LR: 0.000010
Epoch 29, Train Loss: 0.0448, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000010
Epoch 30, Train Loss: 0.0446, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000010
Epoch 31, Train Loss: 0.0446, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000001
Epoch 32, Train Loss: 0.0453, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000001
Epoch 33, Train Loss: 0.0446, Val Loss: 0.0525, Accuracy: 0.9810, LR: 0.000001
Epoch 34, Train Loss: 0.0446, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000001
Epoch 35, Train Loss: 0.0448, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000001
Epoch 36, Train Loss: 0.0444, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000001
Epoch 37, Train Loss: 0.0451, Val Loss: 0.0525, Accuracy: 0.9810, LR: 0.000001
Epoch 38, Train Loss: 0.0448, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000001
Epoch 39, Train Loss: 0.0444, Val Loss: 0.0524, Accuracy: 0.9810, LR: 0.000001
Epoch 40, Train Loss: 0.0447, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000001
Epoch 41, Train Loss: 0.0444, Val Loss: 0.0527, Accuracy: 0.9810, LR: 0.000000
Epoch 42, Train Loss: 0.0447, Val Loss: 0.0525, Accuracy: 0.9810, LR: 0.000000
Epoch 43, Train Loss: 0.0444, Val Loss: 0.0526, Accuracy: 0.9811, LR: 0.000000
Epoch 44, Train Loss: 0.0442, Val Loss: 0.0524, Accuracy: 0.9811, LR: 0.000000
Epoch 45, Train Loss: 0.0445, Val Loss: 0.0524, Accuracy: 0.9811, LR: 0.000000
Epoch 46, Train Loss: 0.0449, Val Loss: 0.0526, Accuracy: 0.9810, LR: 0.000000
Epoch 47, Train Loss: 0.0447, Val Loss: 0.0525, Accuracy: 0.9811, LR: 0.000000
Epoch 48, Train Loss: 0.0449, Val Loss: 0.0527, Accuracy: 0.9810, LR: 0.000000
Epoch 49, Train Loss: 0.0444, Val Loss: 0.0525, Accuracy: 0.9810, LR: 0.000000
Epoch 50, Train Loss: 0.0445, Val Loss: 0.0525, Accuracy: 0.9810, LR: 0.000000
