Epoch 1, Train Loss: 0.1490, Val Loss: 0.0804, Accuracy: 0.9707, LR: 0.001000
Epoch 2, Train Loss: 0.0616, Val Loss: 0.0579, Accuracy: 0.9791, LR: 0.001000
Epoch 1, Train Loss: 0.1269, Val Loss: 0.0694, Accuracy: 0.9772, LR: 0.001000
Epoch 2, Train Loss: 0.0625, Val Loss: 0.0618, Accuracy: 0.9776, LR: 0.001000
Epoch 3, Train Loss: 0.0585, Val Loss: 0.0678, Accuracy: 0.9760, LR: 0.001000
Epoch 4, Train Loss: 0.0633, Val Loss: 0.0524, Accuracy: 0.9810, LR: 0.001000
Epoch 5, Train Loss: 0.0530, Val Loss: 0.0522, Accuracy: 0.9810, LR: 0.001000
Epoch 6, Train Loss: 0.0503, Val Loss: 0.0501, Accuracy: 0.9819, LR: 0.001000
Epoch 7, Train Loss: 0.0476, Val Loss: 0.0520, Accuracy: 0.9816, LR: 0.001000
Epoch 8, Train Loss: 0.0486, Val Loss: 0.0520, Accuracy: 0.9808, LR: 0.001000
Epoch 9, Train Loss: 0.0480, Val Loss: 0.0513, Accuracy: 0.9812, LR: 0.001000
Epoch 10, Train Loss: 0.0472, Val Loss: 0.0530, Accuracy: 0.9805, LR: 0.001000
Epoch 11, Train Loss: 0.0451, Val Loss: 0.0501, Accuracy: 0.9817, LR: 0.000100
Epoch 12, Train Loss: 0.0428, Val Loss: 0.0499, Accuracy: 0.9821, LR: 0.000100
Epoch 13, Train Loss: 0.0402, Val Loss: 0.0506, Accuracy: 0.9819, LR: 0.000100
Epoch 14, Train Loss: 0.0396, Val Loss: 0.0507, Accuracy: 0.9817, LR: 0.000100
Epoch 15, Train Loss: 0.0382, Val Loss: 0.0522, Accuracy: 0.9822, LR: 0.000100
Epoch 16, Train Loss: 0.0369, Val Loss: 0.0529, Accuracy: 0.9814, LR: 0.000100
Epoch 17, Train Loss: 0.0362, Val Loss: 0.0530, Accuracy: 0.9817, LR: 0.000100
Epoch 18, Train Loss: 0.0359, Val Loss: 0.0558, Accuracy: 0.9805, LR: 0.000100
Epoch 19, Train Loss: 0.0353, Val Loss: 0.0536, Accuracy: 0.9819, LR: 0.000100
Epoch 20, Train Loss: 0.0352, Val Loss: 0.0546, Accuracy: 0.9815, LR: 0.000100
Epoch 21, Train Loss: 0.0347, Val Loss: 0.0542, Accuracy: 0.9821, LR: 0.000010
Epoch 22, Train Loss: 0.0344, Val Loss: 0.0541, Accuracy: 0.9820, LR: 0.000010
Epoch 23, Train Loss: 0.0339, Val Loss: 0.0541, Accuracy: 0.9821, LR: 0.000010
Epoch 24, Train Loss: 0.0339, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000010
Epoch 25, Train Loss: 0.0339, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000010
Epoch 26, Train Loss: 0.0335, Val Loss: 0.0541, Accuracy: 0.9821, LR: 0.000010
Epoch 27, Train Loss: 0.0342, Val Loss: 0.0543, Accuracy: 0.9822, LR: 0.000010
Epoch 28, Train Loss: 0.0340, Val Loss: 0.0542, Accuracy: 0.9821, LR: 0.000010
Epoch 29, Train Loss: 0.0336, Val Loss: 0.0538, Accuracy: 0.9821, LR: 0.000010
Epoch 30, Train Loss: 0.0332, Val Loss: 0.0537, Accuracy: 0.9821, LR: 0.000010
Epoch 31, Train Loss: 0.0337, Val Loss: 0.0538, Accuracy: 0.9821, LR: 0.000001
Epoch 32, Train Loss: 0.0330, Val Loss: 0.0539, Accuracy: 0.9822, LR: 0.000001
Epoch 33, Train Loss: 0.0335, Val Loss: 0.0539, Accuracy: 0.9821, LR: 0.000001
Epoch 34, Train Loss: 0.0334, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000001
Epoch 35, Train Loss: 0.0334, Val Loss: 0.0541, Accuracy: 0.9822, LR: 0.000001
Epoch 36, Train Loss: 0.0336, Val Loss: 0.0541, Accuracy: 0.9821, LR: 0.000001
Epoch 37, Train Loss: 0.0334, Val Loss: 0.0542, Accuracy: 0.9822, LR: 0.000001
Epoch 38, Train Loss: 0.0334, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000001
Epoch 39, Train Loss: 0.0334, Val Loss: 0.0542, Accuracy: 0.9822, LR: 0.000001
Epoch 40, Train Loss: 0.0333, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000001
Epoch 41, Train Loss: 0.0335, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000000
Epoch 42, Train Loss: 0.0329, Val Loss: 0.0540, Accuracy: 0.9822, LR: 0.000000
Epoch 43, Train Loss: 0.0334, Val Loss: 0.0541, Accuracy: 0.9821, LR: 0.000000
Epoch 44, Train Loss: 0.0335, Val Loss: 0.0539, Accuracy: 0.9821, LR: 0.000000
Epoch 45, Train Loss: 0.0339, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000000
Epoch 46, Train Loss: 0.0337, Val Loss: 0.0542, Accuracy: 0.9822, LR: 0.000000
Epoch 47, Train Loss: 0.0330, Val Loss: 0.0540, Accuracy: 0.9821, LR: 0.000000
Epoch 48, Train Loss: 0.0334, Val Loss: 0.0542, Accuracy: 0.9821, LR: 0.000000
Epoch 49, Train Loss: 0.0329, Val Loss: 0.0540, Accuracy: 0.9822, LR: 0.000000
Epoch 50, Train Loss: 0.0333, Val Loss: 0.0540, Accuracy: 0.9822, LR: 0.000000
